Configuration,Run,Time(s),MFLOPS
Original,1,7e-06,19.047619
Original,2,7e-06,19.047619
Original,3,6e-06,22.222222
Original,4,7e-06,19.047619
Original,5,5e-06,26.666667
Original,6,2.1e-05,6.349206
Original,7,0.007207,0.018501
Original,8,8e-06,16.666667
Original,9,6e-05,2.222222
Original,10,8e-06,16.666667
Original,11,6e-06,22.222222
Original,12,4e-06,33.333333
Original,13,4e-06,33.333333
Original,14,5e-06,26.666667
Original,15,8e-06,16.666667
Original,16,7e-06,19.047619
Original,17,5e-06,26.666667
Original,18,7e-06,19.047619
Original,19,5e-06,26.666667
Original,20,4e-06,33.333333
Softcom LLVM obfuscator,1,0.000373,0.357462
Softcom LLVM obfuscator,2,0.000277,0.481348
Softcom LLVM obfuscator,3,0.000266,0.501253
Softcom LLVM obfuscator,4,0.014962,0.008911
Softcom LLVM obfuscator,5,0.000538,0.247831
Softcom LLVM obfuscator,6,0.006909,0.019298
Softcom LLVM obfuscator,7,0.000438,0.304414
Softcom LLVM obfuscator,8,0.000362,0.368324
Softcom LLVM obfuscator,9,0.000357,0.373483
Softcom LLVM obfuscator,10,0.000335,0.39801
Softcom LLVM obfuscator,11,0.00034,0.392157
Softcom LLVM obfuscator,12,0.000384,0.347222
Softcom LLVM obfuscator,13,0.035279,0.003779
Softcom LLVM obfuscator,14,0.000341,0.391007
Softcom LLVM obfuscator,15,0.02438,0.005469
Softcom LLVM obfuscator,16,0.000386,0.345423
Softcom LLVM obfuscator,17,0.000403,0.330852
Softcom LLVM obfuscator,18,0.000329,0.405268
Softcom LLVM obfuscator,19,0.018586,0.007174
Softcom LLVM obfuscator,20,0.000351,0.379867
Tigress,1,0.000103,1.294498
Tigress,2,0.000199,0.670017
Tigress,3,0.000111,1.201201
Tigress,4,0.000115,1.15942
Tigress,5,0.008183,0.016294
Tigress,6,0.000159,0.838574
Tigress,7,9.2e-05,1.449275
Tigress,8,0.00012,1.111111
Tigress,9,0.007411,0.017991
Tigress,10,9.3e-05,1.433692
Tigress,11,0.000107,1.246106
Tigress,12,0.000135,0.987654
Tigress,13,8.8e-05,1.515152
Tigress,14,0.00023,0.57971
Tigress,15,9.1e-05,1.465201
Tigress,16,0.000115,1.15942
Tigress,17,0.000126,1.058201
Tigress,18,7.1e-05,1.877934
Tigress,19,0.000123,1.084011
Tigress,20,9.8e-05,1.360544
VMProtect,1,0.014607,0.009128
VMProtect,2,0.014594,0.009136
VMProtect,3,0.014309,0.009318
VMProtect,4,0.012767,0.010444
VMProtect,5,0.084317,0.001581
VMProtect,6,0.01316,0.010132
VMProtect,7,0.175183,0.000761
VMProtect,8,0.059614,0.002237
VMProtect,9,0.022093,0.006035
VMProtect,10,0.105521,0.001264
VMProtect,11,0.147585,0.000903
VMProtect,12,0.170121,0.000784
VMProtect,13,0.143468,0.000929
VMProtect,14,0.124748,0.001069
VMProtect,15,0.066179,0.002015
VMProtect,16,0.160009,0.000833
VMProtect,17,0.081919,0.001628
VMProtect,18,0.186776,0.000714
VMProtect,19,0.162081,0.000823
VMProtect,20,0.124947,0.001067
