Configuration,Run,Time(s),MFLOPS
Original,1,0.05384,1557.078058
Original,2,0.055145,1520.234616
Original,3,0.053534,1565.972985
Original,4,0.053449,1568.480064
Original,5,0.054147,1548.24292
Original,6,0.053888,1555.689297
Original,7,0.054342,1542.699307
Original,8,0.054065,1550.612909
Original,9,0.053651,1562.568042
Original,10,0.054183,1547.239466
Original,11,0.053837,1557.160196
Original,12,0.057013,1470.431837
Original,13,0.057883,1448.312358
Original,14,0.057966,1446.244487
Original,15,0.057503,1457.89135
Original,16,0.056886,1473.716302
Original,17,0.058343,1436.894619
Original,18,0.057741,1451.89628
Original,19,0.057438,1459.53401
Original,20,0.058507,1432.874161
Original,21,0.058848,1424.582783
Original,22,0.054522,1537.595378
Original,23,0.053185,1576.245308
Original,24,0.054547,1536.905717
Original,25,0.057258,1464.13868
Original,26,0.057751,1451.631575
Original,27,0.056791,1476.180068
Original,28,0.054385,1541.472244
Original,29,0.054117,1549.099157
Original,30,0.056021,1496.46683
Original,31,0.053609,1563.798567
Original,32,0.054429,1540.234455
Original,33,0.053641,1562.845329
Original,34,0.053676,1561.85266
Original,35,0.056941,1472.29527
Original,36,0.058434,1434.676362
Original,37,0.058406,1435.356757
Original,38,0.057796,1450.496518
Original,39,0.057143,1467.071116
Original,40,0.056505,1483.655937
Softcom LLVM obfuscator,1,15.612536,5.369617
Softcom LLVM obfuscator,2,15.928578,5.263077
Softcom LLVM obfuscator,3,15.50445,5.40705
Softcom LLVM obfuscator,4,15.604278,5.372458
Softcom LLVM obfuscator,5,15.915306,5.267466
Softcom LLVM obfuscator,6,15.583461,5.379635
Softcom LLVM obfuscator,7,15.674921,5.348246
Softcom LLVM obfuscator,8,16.007612,5.237092
Softcom LLVM obfuscator,9,15.685331,5.344696
Softcom LLVM obfuscator,10,15.894646,5.274313
Softcom LLVM obfuscator,11,15.506951,5.406178
Softcom LLVM obfuscator,12,15.738509,5.326638
Softcom LLVM obfuscator,13,15.489464,5.412281
Softcom LLVM obfuscator,14,16.013472,5.235175
Softcom LLVM obfuscator,15,15.614781,5.368845
Softcom LLVM obfuscator,16,16.08779,5.210991
Softcom LLVM obfuscator,17,15.678665,5.346969
Softcom LLVM obfuscator,18,15.882855,5.278228
Softcom LLVM obfuscator,19,15.55035,5.39109
Softcom LLVM obfuscator,20,15.790183,5.309206
Softcom LLVM obfuscator,21,15.635539,5.361717
Softcom LLVM obfuscator,22,15.596874,5.375009
Softcom LLVM obfuscator,23,15.656231,5.354631
Softcom LLVM obfuscator,24,15.608193,5.371111
Softcom LLVM obfuscator,25,15.475522,5.417157
Softcom LLVM obfuscator,26,15.542021,5.393979
Softcom LLVM obfuscator,27,15.786849,5.310327
Softcom LLVM obfuscator,28,15.510841,5.404822
Softcom LLVM obfuscator,29,15.432702,5.432188
Softcom LLVM obfuscator,30,15.601864,5.37329
Softcom LLVM obfuscator,31,15.514844,5.403427
Softcom LLVM obfuscator,32,15.539392,5.394891
Softcom LLVM obfuscator,33,16.181929,5.180676
Softcom LLVM obfuscator,34,15.857393,5.286703
Softcom LLVM obfuscator,35,15.557573,5.388587
Softcom LLVM obfuscator,36,15.590666,5.377149
Softcom LLVM obfuscator,37,15.386028,5.448666
Softcom LLVM obfuscator,38,15.511227,5.404687
Softcom LLVM obfuscator,39,15.691134,5.34272
Softcom LLVM obfuscator,40,15.496493,5.409826
Tigress,1,3.605776,23.249734
Tigress,2,3.761519,22.287093
Tigress,3,3.61137,23.213723
Tigress,4,3.901669,21.486532
Tigress,5,3.598264,23.298272
Tigress,6,3.59598,23.313067
Tigress,7,3.639891,23.031827
Tigress,8,3.632207,23.080549
Tigress,9,3.632235,23.080371
Tigress,10,3.61326,23.201576
Tigress,11,3.613063,23.20284
Tigress,12,3.589084,23.357866
Tigress,13,3.601019,23.280449
Tigress,14,3.636729,23.051851
Tigress,15,3.781155,22.171357
Tigress,16,3.731634,22.465582
Tigress,17,3.69903,22.663602
Tigress,18,3.673136,22.82337
Tigress,19,3.593251,23.330773
Tigress,20,3.649472,22.971362
Tigress,21,3.638158,23.042797
Tigress,22,3.636406,23.053899
Tigress,23,3.724654,22.507683
Tigress,24,3.620483,23.155288
Tigress,25,3.720089,22.535305
Tigress,26,3.634707,23.064672
Tigress,27,3.603509,23.264359
Tigress,28,3.586444,23.375059
Tigress,29,3.723448,22.514976
Tigress,30,3.628536,23.1039
Tigress,31,3.610793,23.217427
Tigress,32,3.630542,23.091137
Tigress,33,3.577091,23.436175
Tigress,34,3.630547,23.091103
Tigress,35,3.592837,23.333462
Tigress,36,3.603912,23.261757
Tigress,37,3.629049,23.100636
Tigress,38,3.581549,23.407001
Tigress,39,3.575526,23.446432
Tigress,40,3.582525,23.400629
VMProtect,1,1019.862884,0.082201
VMProtect,2,1017.97922,0.082353
VMProtect,3,1020.907811,0.082116
VMProtect,4,1020.862562,0.08212
VMProtect,5,1020.559015,0.082145
VMProtect,6,1022.077524,0.082022
VMProtect,7,1021.115203,0.0821
VMProtect,8,1022.827086,0.081962
VMProtect,9,1020.47108,0.082152
VMProtect,10,1016.614007,0.082463
VMProtect,11,1017.067183,0.082427
VMProtect,12,1024.666267,0.081815
VMProtect,13,1036.501376,0.080881
VMProtect,14,1018.033582,0.082348
VMProtect,15,1020.177937,0.082175
VMProtect,16,1024.423698,0.081835
VMProtect,17,1018.727103,0.082292
VMProtect,18,1017.662105,0.082378
VMProtect,19,1014.710098,0.082618
VMProtect,20,1014.146168,0.082664
VMProtect,21,1018.184846,0.082336
VMProtect,22,1027.263642,0.081608
VMProtect,23,1025.499997,0.081749
VMProtect,24,1019.407363,0.082237
VMProtect,25,1019.124491,0.08226
VMProtect,26,1018.084779,0.082344
VMProtect,27,1023.511342,0.081908
VMProtect,28,1022.510038,0.081988
VMProtect,29,1022.557293,0.081984
VMProtect,30,1024.179529,0.081854
VMProtect,31,1020.563081,0.082144
VMProtect,32,1022.003121,0.082028
VMProtect,33,1022.927439,0.081954
VMProtect,34,1018.347832,0.082323
VMProtect,35,1015.700254,0.082537
VMProtect,36,1015.444816,0.082558
VMProtect,37,1018.233223,0.082332
VMProtect,38,1016.40259,0.08248
VMProtect,39,1021.951694,0.082033
VMProtect,40,1018.873906,0.08228
