Configuration,Run,Time(s),MFLOPS
Softcom LLVM obfuscator,24,0.132169,5.195369
Softcom LLVM obfuscator,25,0.132987,5.163412
Softcom LLVM obfuscator,26,0.132897,5.166909
Softcom LLVM obfuscator,27,0.131029,5.24057
Softcom LLVM obfuscator,28,0.129966,5.283433
Softcom LLVM obfuscator,29,0.131988,5.202493
Softcom LLVM obfuscator,30,0.13997,4.905813
Softcom LLVM obfuscator,31,0.213926,3.209833
Softcom LLVM obfuscator,32,0.145684,4.713398
Softcom LLVM obfuscator,33,0.133025,5.161937
Softcom LLVM obfuscator,34,0.138831,4.946062
Softcom LLVM obfuscator,35,0.136347,5.03617
Softcom LLVM obfuscator,36,0.140677,4.881158
Softcom LLVM obfuscator,37,0.132636,5.177076
Softcom LLVM obfuscator,38,0.13188,5.206754
Softcom LLVM obfuscator,39,0.13704,5.010702
Softcom LLVM obfuscator,40,0.136069,5.046459
Tigress,1,0.03354,20.473303
Tigress,2,0.039404,17.42622
Tigress,3,0.035158,19.530669
Tigress,4,0.041213,16.661349
Tigress,5,0.036302,18.915482
Tigress,6,0.031644,21.699949
Tigress,7,0.031988,21.466193
Tigress,8,0.037095,18.510837
Tigress,9,0.037458,18.331478
Tigress,10,0.039048,17.585341
Tigress,11,0.040694,16.873762
Tigress,12,0.034346,19.992741
Tigress,13,0.036387,18.87102
Tigress,14,0.035072,19.57881
Tigress,15,0.032776,20.949997
Tigress,16,0.040644,16.89461
Tigress,17,0.044302,15.499507
Tigress,18,0.038408,17.878186
Tigress,19,0.039091,17.565715
Tigress,20,0.043824,15.668659
Tigress,21,0.034753,19.75873
Tigress,22,0.04491,15.289694
Tigress,23,0.033528,20.480467
Tigress,24,0.032276,21.274924
Tigress,25,0.039225,17.505947
Tigress,26,0.034932,19.657202
Tigress,27,0.033077,20.759548
Tigress,28,0.039847,17.232461
Tigress,29,0.036907,18.605452
Tigress,30,0.038941,17.633688
Tigress,31,0.03558,19.299498
Tigress,32,0.033986,20.204482
Tigress,33,0.036317,18.907366
Tigress,34,0.03357,20.45481
Tigress,35,0.036881,18.618593
Tigress,36,0.036126,19.0077
Tigress,37,0.03418,20.089479
Tigress,38,0.033676,20.390174
Tigress,39,0.035092,19.567703
Tigress,40,0.034516,19.89441
VMProtect,1,8.660054,0.079291
VMProtect,2,8.523618,0.08056
VMProtect,3,8.667438,0.079224
VMProtect,4,8.629442,0.079573
VMProtect,5,8.575636,0.080072
VMProtect,6,8.648959,0.079393
VMProtect,7,8.648918,0.079393
VMProtect,8,8.621969,0.079642
VMProtect,9,8.593109,0.079909
VMProtect,10,8.631373,0.079555
VMProtect,11,8.677658,0.07913
VMProtect,12,8.58793,0.079957
VMProtect,13,8.578648,0.080044
VMProtect,14,8.556129,0.080254
VMProtect,15,8.580925,0.080022
VMProtect,16,8.638503,0.079489
VMProtect,17,8.591864,0.079921
VMProtect,18,8.551377,0.080299
VMProtect,19,8.600042,0.079845
VMProtect,20,8.588657,0.07995
VMProtect,21,8.539025,0.080415
VMProtect,22,8.657599,0.079314
VMProtect,23,8.556652,0.080249
VMProtect,24,8.571704,0.080109
VMProtect,25,8.607734,0.079773
VMProtect,26,8.587266,0.079963
VMProtect,27,8.625161,0.079612
VMProtect,28,8.549412,0.080317
VMProtect,29,8.680366,0.079106
VMProtect,30,8.607502,0.079775
VMProtect,31,8.601503,0.079831
VMProtect,32,8.571481,0.080111
VMProtect,33,8.803553,0.077999
VMProtect,34,8.565788,0.080164
VMProtect,35,8.548977,0.080322
VMProtect,36,8.529907,0.080501
VMProtect,37,8.629311,0.079574
VMProtect,38,8.573408,0.080093
VMProtect,39,8.61491,0.079707
VMProtect,40,8.596036,0.079882
