Configuration,Run,Time(s),MFLOPS
Original,1,0.000496,1383.170442
Original,2,0.000496,1384.330454
Original,3,0.000491,1397.12071
Original,4,0.000505,1360.016056
Original,5,0.000516,1330.901531
Original,6,0.000493,1392.115759
Original,7,0.000527,1302.40192
Original,8,0.000499,1375.374389
Original,9,0.000509,1349.554188
Original,10,0.000504,1361.253569
Original,11,0.000513,1337.968159
Original,12,0.000478,1436.661366
Original,13,0.000507,1354.190496
Original,14,0.000487,1409.851302
Original,15,0.0005,1372.380901
Original,16,0.000468,1468.322021
Original,17,0.000482,1423.46197
Original,18,0.000514,1337.066735
Original,19,0.000502,1367.780146
Original,20,0.000501,1370.89588
Original,21,0.000505,1358.753904
Original,22,0.0005,1374.212829
Original,23,0.000501,1370.031557
Original,24,0.000504,1362.712353
Original,25,0.000488,1408.324566
Original,26,0.0005,1373.45145
Original,27,0.000497,1381.214544
Original,28,0.0005,1372.586646
Original,29,0.000531,1293.622879
Original,30,0.000546,1256.970542
Original,31,0.00054,1272.415514
Original,32,0.000515,1332.347655
Original,33,0.000505,1359.695586
Original,34,0.00051,1345.674343
Original,35,0.000504,1362.712353
Original,36,0.000539,1273.685291
Original,37,0.000509,1348.036088
Original,38,0.000506,1357.574607
Original,39,0.000518,1325.432213
Original,40,0.000521,1317.212191
Softcom LLVM obfuscator,1,0.130993,5.24201
Softcom LLVM obfuscator,2,0.130106,5.277748
Softcom LLVM obfuscator,3,0.131616,5.217198
Softcom LLVM obfuscator,4,0.132501,5.182351
Softcom LLVM obfuscator,5,0.135748,5.058393
Softcom LLVM obfuscator,6,0.136443,5.032627
Softcom LLVM obfuscator,7,0.136865,5.017109
Softcom LLVM obfuscator,8,0.169418,4.053092
Softcom LLVM obfuscator,9,0.169094,4.060858
Softcom LLVM obfuscator,10,0.14423,4.760914
Softcom LLVM obfuscator,11,0.137929,4.978407
Softcom LLVM obfuscator,12,0.136292,5.038202
Softcom LLVM obfuscator,13,0.137715,4.986143
Softcom LLVM obfuscator,14,0.13263,5.17731
Softcom LLVM obfuscator,15,0.130848,5.247819
Softcom LLVM obfuscator,16,0.133289,5.151713
Softcom LLVM obfuscator,17,0.130795,5.249946
Softcom LLVM obfuscator,18,0.132958,5.164538
Softcom LLVM obfuscator,19,0.136474,5.031483
Softcom LLVM obfuscator,20,0.130237,5.272439
Softcom LLVM obfuscator,21,0.133812,5.131578
Softcom LLVM obfuscator,22,0.132607,5.178208
Softcom LLVM obfuscator,23,0.129829,5.289008
