Configuration,Run,Time(s),MFLOPS
Original,132,5e-06,191.106105
Original,133,4e-06,202.492116
Original,134,4e-06,245.029035
Original,135,4e-06,198.959317
Original,136,4e-06,244.96
Original,137,3e-06,248.684711
Original,138,3e-06,256.258371
Original,139,4e-06,239.27843
Original,140,4e-06,233.163214
Original,141,3e-06,252.15772
Original,142,4e-06,230.251604
Original,143,4e-06,234.99632
Original,144,3e-06,295.387331
Original,145,3e-06,253.485307
Original,146,4e-06,240.874246
Original,147,3e-06,282.947348
Original,148,3e-06,252.819771
Original,149,3e-06,251.134846
Original,150,4e-06,247.477742
Original,151,4e-06,247.054787
Original,152,4e-06,247.054274
Original,153,3e-06,250.336812
Original,154,3e-06,278.671049
Original,155,3e-06,269.067498
Original,156,3e-06,272.109507
Original,157,3e-06,273.568775
Original,158,3e-06,252.746276
Original,159,4e-06,241.950656
Original,160,3e-06,289.370939
Original,161,3e-06,281.842673
Original,162,3e-06,285.93387
Original,163,3e-06,261.280278
Original,164,3e-06,286.596393
Original,165,3e-06,280.293391
Original,166,4e-06,239.941179
Original,167,3e-06,277.332513
Original,168,5e-06,161.36009
Original,169,3e-06,262.785334
Original,170,4e-06,239.081039
Original,171,3e-06,280.929341
Original,172,3e-06,271.5122
Original,173,3e-06,287.355548
Original,174,3e-06,277.510198
Original,175,3e-06,253.782347
Original,176,3e-06,267.820627
Original,177,3e-06,276.978469
Original,178,3e-06,270.74878
Original,179,4e-06,241.344239
Original,180,4e-06,230.926546
Original,181,4e-06,237.11828
Original,182,3e-06,289.467281
Original,183,3e-06,267.324749
Original,184,3e-06,283.502264
Original,185,3e-06,262.149731
Original,186,3e-06,291.513221
Original,187,3e-06,291.708119
Original,188,3e-06,280.202399
Original,189,3e-06,248.257106
Original,190,3e-06,285.839866
Original,191,4e-06,234.170745
Original,192,3e-06,270.664494
Original,193,3e-06,261.51662
Original,194,4e-06,245.933095
Original,195,3e-06,276.272445
Original,196,3e-06,254.154899
Original,197,3e-06,286.406197
Original,198,3e-06,277.955732
Original,199,3e-06,250.626514
Original,200,3e-06,281.751339
Softcom LLVM obfuscator,1,0.000251,3.452855
Softcom LLVM obfuscator,2,0.000254,3.412073
Softcom LLVM obfuscator,3,0.000204,4.248366
Softcom LLVM obfuscator,4,0.000208,4.166667
Softcom LLVM obfuscator,5,0.000216,4.012346
Softcom LLVM obfuscator,6,0.000417,2.078337
Softcom LLVM obfuscator,7,0.000514,1.686122
Softcom LLVM obfuscator,8,0.000217,3.993856
Softcom LLVM obfuscator,9,0.000215,4.031008
Softcom LLVM obfuscator,10,0.000216,4.012346
Softcom LLVM obfuscator,11,0.000213,4.068858
Softcom LLVM obfuscator,12,0.000673,1.287766
Softcom LLVM obfuscator,13,0.000215,4.031008
Softcom LLVM obfuscator,14,0.000208,4.166667
Softcom LLVM obfuscator,15,0.000399,2.172097
Softcom LLVM obfuscator,16,0.00021,4.126984
Softcom LLVM obfuscator,17,0.000209,4.14673
Softcom LLVM obfuscator,18,0.000214,4.049844
Softcom LLVM obfuscator,19,0.00021,4.126984
Softcom LLVM obfuscator,20,0.00022,3.939394
Softcom LLVM obfuscator,21,0.000241,3.596127
Softcom LLVM obfuscator,22,0.000242,3.581267
Softcom LLVM obfuscator,23,0.000226,3.834808
Softcom LLVM obfuscator,24,0.000202,4.290429
Softcom LLVM obfuscator,25,0.000209,4.14673
Softcom LLVM obfuscator,26,0.000198,4.377104
Softcom LLVM obfuscator,27,0.000275,3.151515
Softcom LLVM obfuscator,28,0.000192,4.513889
Softcom LLVM obfuscator,29,0.000398,2.177554
Softcom LLVM obfuscator,30,0.000192,4.513889
Softcom LLVM obfuscator,31,0.000211,4.107425
Softcom LLVM obfuscator,32,0.000188,4.609929
Softcom LLVM obfuscator,33,0.000215,4.031008
Softcom LLVM obfuscator,34,0.00021,4.126984
Softcom LLVM obfuscator,35,0.000186,4.659498
Softcom LLVM obfuscator,36,0.000205,4.227642
Softcom LLVM obfuscator,37,0.000232,3.735632
Softcom LLVM obfuscator,38,0.000235,3.687943
Softcom LLVM obfuscator,39,0.000205,4.227642
Softcom LLVM obfuscator,40,0.000182,4.761905
Tigress,1,9.9e-05,8.766074
Tigress,2,9.9e-05,8.732862
Tigress,3,8.8e-05,9.81269
Tigress,4,7.6e-05,11.472342
Tigress,5,8.8e-05,9.86676
Tigress,6,9.9e-05,8.73559
Tigress,7,8.8e-05,9.819584
Tigress,8,8.5e-05,10.171189
Tigress,9,8.7e-05,9.969134
Tigress,10,8.6e-05,10.072132
Tigress,11,0.000519,1.67075
Tigress,12,9.8e-05,8.824268
Tigress,13,9.1e-05,9.555206
Tigress,14,9.1e-05,9.513041
Tigress,15,8e-05,10.860348
Tigress,16,8.8e-05,9.901593
Tigress,17,8.1e-05,10.675075
Tigress,18,9.4e-05,9.246515
Tigress,19,0.000112,7.730158
Tigress,20,9.5e-05,9.080083
Tigress,21,7e-05,12.29733
Tigress,22,9.4e-05,9.260645
Tigress,23,9.8e-05,8.860173
Tigress,24,9.8e-05,8.824178
Tigress,25,9.8e-05,8.88743
Tigress,26,0.000121,7.149594
Tigress,27,9e-05,9.677912
Tigress,28,0.000103,8.434712
Tigress,29,9.9e-05,8.788207
Tigress,30,8.2e-05,10.558676
Tigress,31,7.1e-05,12.271039
Tigress,32,8.9e-05,9.715776
Tigress,33,9.9e-05,8.762972
Tigress,34,9.8e-05,8.798915
Tigress,35,9.5e-05,9.131169
Tigress,36,9.5e-05,9.132131
Tigress,37,9.9e-05,8.720998
Tigress,38,0.0001,8.690914
Tigress,39,9.7e-05,8.97728
Tigress,40,9.5e-05,9.113597
VMProtect,1,0.015445,0.056113
VMProtect,2,0.01595,0.054336
VMProtect,3,0.015684,0.055258
VMProtect,4,0.016292,0.053196
VMProtect,5,0.01524,0.056868
VMProtect,6,0.016421,0.052778
VMProtect,7,0.016069,0.053934
VMProtect,8,0.016635,0.052099
VMProtect,9,0.017128,0.050599
VMProtect,10,0.015396,0.056292
VMProtect,11,0.017388,0.049843
VMProtect,12,0.016729,0.051806
VMProtect,13,0.016446,0.052698
VMProtect,14,0.017257,0.050221
VMProtect,15,0.015022,0.057693
VMProtect,16,0.015193,0.057044
VMProtect,17,0.015335,0.056516
VMProtect,18,0.016531,0.052427
VMProtect,19,0.018783,0.046141
VMProtect,20,0.014911,0.058123
VMProtect,21,0.015011,0.057735
VMProtect,22,0.015199,0.057021
VMProtect,23,0.016253,0.053323
VMProtect,24,0.015381,0.056347
VMProtect,25,0.015432,0.05616
VMProtect,26,0.015551,0.055731
VMProtect,27,0.014898,0.058173
VMProtect,28,0.015138,0.057251
VMProtect,29,0.014786,0.058614
VMProtect,30,0.016686,0.05194
VMProtect,31,0.015973,0.054258
VMProtect,32,0.016246,0.053346
VMProtect,33,0.016846,0.051446
VMProtect,34,0.015398,0.056284
VMProtect,35,0.015395,0.056295
VMProtect,36,0.015183,0.057081
VMProtect,37,0.015854,0.054665
VMProtect,38,0.015829,0.054752
VMProtect,39,0.015435,0.056149
VMProtect,40,0.017554,0.049371
