Configuration,Run,Time(s),MFLOPS
Original,1,3e-06,271.341492
Original,2,3e-06,272.108885
Original,3,3e-06,277.866252
Original,4,3e-06,272.708823
Original,5,3e-06,277.689405
Original,6,3e-06,280.203058
Original,7,3e-06,272.365233
Original,8,4e-06,216.938084
Original,9,3e-06,286.406886
Original,10,3e-06,278.760396
Original,11,3e-06,276.537344
Original,12,3e-06,270.074119
Original,13,3e-06,281.385266
Original,14,3e-06,278.402049
Original,15,3e-06,274.522084
Original,16,3e-06,258.012987
Original,17,3e-06,271.003187
Original,18,3e-06,269.1514
Original,19,4e-06,247.477228
Original,20,3e-06,278.402699
Original,21,5e-06,190.016526
Original,22,3e-06,273.742298
Original,23,3e-06,285.651358
Original,24,4e-06,239.080559
Original,25,4e-06,196.522984
Original,26,4e-06,216.288511
Original,27,3e-06,260.10381
Original,28,4e-06,243.650697
Original,29,4e-06,242.763804
Original,30,3e-06,287.642137
Original,31,3e-06,287.2613
Original,32,3e-06,281.750673
Original,33,3e-06,277.333159
Original,34,4e-06,238.029954
Original,35,3e-06,279.570388
Original,36,3e-06,268.567601
Original,37,3e-06,274.522717
Original,38,3e-06,250.191686
Original,39,3e-06,254.751736
Original,40,3e-06,279.750953
Original,41,3e-06,284.246451
Original,42,3e-06,279.209957
Original,43,3e-06,286.690895
Original,44,3e-06,277.688758
Original,45,3e-06,287.833979
Original,46,4e-06,215.588564
Original,47,5e-06,186.943057
Original,48,3e-06,285.087323
Original,49,3e-06,248.898807
Original,50,3e-06,283.409177
Original,51,3e-06,282.670703
Original,52,3e-06,279.660313
Original,53,4e-06,239.476629
Original,54,4e-06,239.941179
Original,55,4e-06,199.371257
Original,56,4e-06,236.406246
Original,57,4e-06,230.680127
Original,58,3e-06,272.194073
Original,59,3e-06,275.656743
Original,60,6e-06,157.518504
Original,61,6e-06,139.672423
Original,62,3e-06,279.569732
Original,63,3e-06,272.02375
Original,64,4e-06,246.91344
Original,65,3e-06,273.137809
Original,66,4e-06,235.89172
Original,67,4e-06,241.47879
Original,68,3e-06,252.967963
Original,69,3e-06,249.329149
Original,70,3e-06,252.08461
Original,71,4e-06,222.165405
Original,72,4e-06,203.585772
Original,73,4e-06,246.352215
Original,74,4e-06,247.124495
Original,75,3e-06,250.192211
Original,76,3e-06,281.842006
Original,77,3e-06,274.348836
Original,78,4e-06,236.406246
Original,79,4e-06,245.932587
Original,80,4e-06,240.140478
Original,81,4e-06,207.23762
Original,82,4e-06,236.535815
Original,83,4e-06,232.100982
Original,84,3e-06,255.805446
Original,85,3e-06,248.328531
Original,86,4e-06,236.793969
Original,87,1.2e-05,70.54676
Original,88,3e-06,249.904036
Original,89,4e-06,235.827736
Original,90,3e-06,295.992902
Original,91,3e-06,257.094669
Original,92,3e-06,302.079976
Original,93,4e-06,245.932587
Original,94,3e-06,247.619221
Original,95,3e-06,278.670397
Original,96,3e-06,249.687685
Original,97,4e-06,246.913952
Original,98,3e-06,283.594737
Original,99,3e-06,276.184045
Original,100,3e-06,287.356241
Original,101,3e-06,252.08461
Original,102,4e-06,247.125008
Original,103,3e-06,257.018114
Original,104,3e-06,249.400669
Original,105,4e-06,240.874246
Original,106,4e-06,247.124495
Original,107,3e-06,273.310785
Original,108,4e-06,243.993576
Original,109,3e-06,249.185189
Original,110,4e-06,220.133839
Original,111,3e-06,248.685231
Original,112,3e-06,258.552878
Original,113,4e-06,242.560128
Original,114,4e-06,246.21218
Original,115,3e-06,276.89026
Original,116,3e-06,261.517195
Original,117,3e-06,248.04463
Original,118,3e-06,256.334474
Original,119,3e-06,261.595879
Original,120,3e-06,276.714011
Original,121,4e-06,240.140478
Original,122,3e-06,248.542013
Original,123,3e-06,248.257106
Original,124,3e-06,257.094669
Original,125,4e-06,245.654135
Original,126,4e-06,236.988072
Original,127,4e-06,245.793029
Original,128,4e-06,243.994575
Original,129,3e-06,248.399996
Original,130,3e-06,256.486263
Original,131,3e-06,272.87938
